,Name,Team,Position,Batting,Bowling
1103,MV Boucher,Africa XI,WK-Batsman,Right Handed Bat,Right-arm medium
1104,SM Pollock,Africa XI,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
1105,N Boje,Africa XI,Batting Allrounder,Left Handed Bat,Left-arm orthodox
1106,JM Kemp,Africa XI,--,Right Handed Bat,Right-arm fast-medium
1107,DW Steyn,Africa XI,Bowler,Right Handed Bat,Right-arm fast
1108,TM Odoyo,Africa XI,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
1109,KC Sangakkara,Asia XI,Batsman,Left Handed Bat,Right-arm offbreak
1110,V Sehwag,Asia XI,Batsman,Right Handed Bat,Right-arm offbreak
1111,Mohammad Yousuf,Asia XI,--,Right Handed Bat,Right-arm offbreak
1112,Mohammad Ashraful,Asia XI,Batsman,Right Handed Bat,Right-arm legbreak
1113,Inzamam-ul-Haq,Asia XI,Batsman,Right Handed Bat,Left-arm orthodox
1114,Shahid Afridi,Asia XI,Bowling Allrounder,Right Handed Bat,Right-arm legbreak
1115,Abdul Razzaq,Asia XI,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
1116,A Kumble,Asia XI,Bowler,Right Handed Bat,Right-arm legbreak
1117,Z Khan,Asia XI,Bowler,Right Handed Bat,Left-arm fast-medium
1118,Shoaib Akhtar,Asia XI,Bowler,Right Handed Bat,Right-arm fast
1119,A Nehra,Asia XI,Bowler,Right Handed Bat,Left-arm fast-medium
1120,M Muralitharan,Asia XI,Bowler,Right Handed Bat,Right-arm offbreak
1121,GC Smith,Africa XI,Batsman,Left Handed Bat,Right-arm offbreak
1122,JA Rudolph,Africa XI,Batsman,Left Handed Bat,Right-arm legbreak
1123,T Taibu,Africa XI,WK-Batsman,Right Handed Bat,Right-arm offbreak
1124,HH Streak,Africa XI,--,Right Handed Bat,Right-arm fast-medium
1125,M Zondeki,Africa XI,Bowler,Right Handed Bat,Right-arm fast
1126,DPMD Jayawardene,Asia XI,Batsman,Right Handed Bat,Right-arm medium
1127,SC Ganguly,India,Batsman,Left Handed Bat,Right-arm medium
1128,AB Agarkar,India,Bowler,Right Handed Bat,Right-arm fast-medium
1129,Jai Prakash Yadav,India,--,Right Handed Bat,Right-arm medium
1130,SV Carlisle,Zimbabwe,--,Right Handed Bat,Right-arm medium
1131,T Taibu,Zimbabwe,WK-Batsman,Right Handed Bat,Right-arm offbreak
1132,HH Streak,Zimbabwe,--,Right Handed Bat,Right-arm fast-medium
1133,CK Coventry,Zimbabwe,Batsman,Right Handed Bat,Right-arm legbreak
1134,AM Blignaut,Zimbabwe,Batting Allrounder,Left Handed Bat,Right-arm fast-medium
1135,NB Mahwire,Zimbabwe,Bowler,Right Handed Bat,Right-arm medium
1136,P Utseya,Zimbabwe,Bowling Allrounder,Right Handed Bat,Right-arm offbreak
1137,AJ Ireland,Zimbabwe,Batting Allrounder,Right Handed Bat,Right-arm medium
1138,WPUJC Vaas,Sri Lanka,Bowler,Left Handed Bat,Left-arm fast-medium
1139,Syed Rasel,Bangladesh,Bowler,Left Handed Bat,Left-arm fast-medium
1140,L Vincent,New Zealand,Batsman,Right Handed Bat,Right-arm medium
1141,SP Fleming,New Zealand,Batsman,Left Handed Bat,null
1142,NJ Astle,New Zealand,Batting Allrounder,Right Handed Bat,Right-arm medium
1143,CD McMillan,New Zealand,Batsman,Right Handed Bat,Right-arm medium
1144,HJH Marshall,New Zealand,Batsman,Right Handed Bat,Right-arm medium
1145,SB Styris,New Zealand,Batting Allrounder,Right Handed Bat,Right-arm medium
1146,JDP Oram,New Zealand,Bowling Allrounder,Left Handed Bat,Right-arm fast-medium
1147,BB McCullum,New Zealand,WK-Batsman,Right Handed Bat,null
1148,DL Vettori,New Zealand,Bowling Allrounder,Left Handed Bat,Left-arm orthodox
1149,KD Mills,New Zealand,Bowler,Right Handed Bat,Right-arm fast-medium
1150,SE Bond,New Zealand,Bowler,Right Handed Bat,Right-arm fast
1151,KM Dabengwa,Zimbabwe,Batsman,Left Handed Bat,Left-arm orthodox
1152,M Kartik,India,Bowler,Left Handed Bat,Left-arm orthodox
1153,RP Singh,India,Bowler,Right Handed Bat,Left-arm fast-medium
1154,CL Cairns,New Zealand,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
1155,NW Bracken,Australia,--,Right Handed Bat,Left-arm fast-medium
1156,SR Clark,Australia,Bowler,Right Handed Bat,Right-arm fast-medium
1157,CH Gayle,ICC World XI,Batsman,Left Handed Bat,Right-arm offbreak
1158,V Sehwag,ICC World XI,Batsman,Right Handed Bat,Right-arm offbreak
1159,KC Sangakkara,ICC World XI,Batsman,Left Handed Bat,Right-arm offbreak
1160,JH Kallis,ICC World XI,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
1161,BC Lara,ICC World XI,Batsman,Left Handed Bat,Right-arm legbreak
1162,R Dravid,ICC World XI,Batsman,Right Handed Bat,Right-arm offbreak
1163,A Flintoff,ICC World XI,--,Right Handed Bat,Right-arm fast
1164,KP Pietersen,ICC World XI,Batsman,Right Handed Bat,Right-arm offbreak
1165,SM Pollock,ICC World XI,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
1166,DL Vettori,ICC World XI,Bowling Allrounder,Left Handed Bat,Left-arm orthodox
1167,Shoaib Akhtar,ICC World XI,Bowler,Right Handed Bat,Right-arm fast
1168,M Muralitharan,ICC World XI,Bowler,Right Handed Bat,Right-arm offbreak
1169,Shahid Afridi,ICC World XI,Bowling Allrounder,Right Handed Bat,Right-arm legbreak
1170,M Ntini,ICC World XI,Bowler,Right Handed Bat,Right-arm fast
1171,SR Tendulkar,India,Batsman,Right Handed Bat,Right-arm legbreak
1172,S Sreesanth,India,Bowler,Right Handed Bat,Right-arm fast-medium
1173,AG Puttick,South Africa,Batting Allrounder,Left Handed Bat,Right-arm medium
1174,N Boje,South Africa,Batting Allrounder,Left Handed Bat,Left-arm orthodox
1175,JEC Franklin,New Zealand,Bowling Allrounder,Left Handed Bat,Left-arm medium
1176,AR Adams,New Zealand,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
1177,JA Rudolph,South Africa,Batsman,Left Handed Bat,Right-arm legbreak
1178,JA Morkel,South Africa,Batting Allrounder,Left Handed Bat,Right-arm fast-medium
1179,G Gambhir,India,Batsman,Left Handed Bat,Right-arm legbreak
1180,EC Joyce,England,Batsman,Left Handed Bat,Right-arm medium
1181,IR Bell,England,Batsman,Right Handed Bat,Right-arm medium
1182,JWM Dalrymple,England,Batting Allrounder,Right Handed Bat,Right-arm offbreak
1183,G Chapple,England,--,Right Handed Bat,Right-arm medium
1184,SI Mahmood,England,Bowler,Right Handed Bat,Right-arm fast-medium
1185,DI Joyce,Ireland,Batsman,Left Handed Bat,Right-arm medium
1186,JP Bray,Ireland,Bowler,Right Handed Bat,Right-arm offbreak
1187,AC Botha,Ireland,Bowling Allrounder,Left Handed Bat,Right-arm medium
1188,WK McCallan,Ireland,WK-Batsman,Right Handed Bat,null
1189,PG Gillespie,Ireland,--,Right Handed Bat,Right-arm fast-medium
1190,DT Johnston,Ireland,Bowler,Right Handed Bat,Right-arm fast-medium
1191,AR White,Ireland,Batsman,Right Handed Bat,Right-arm offbreak
1192,JF Mooney,Ireland,WK-Batsman,Left Handed Bat,null
1193,PJK Mooney,Ireland,--,Right Handed Bat,null
1194,R Clarke,England,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
1195,CMW Read,England,WK-Batsman,Right Handed Bat,null
1196,SCJ Broad,England,Bowler,Left Handed Bat,Right-arm fast-medium
1197,Shoaib Akhtar,Pakistan,Bowler,Right Handed Bat,Right-arm fast
1198,Mohammad Asif,Pakistan,Bowler,Left Handed Bat,Right-arm fast-medium
1199,MH Yardy,England,Bowler,Left Handed Bat,Left-arm orthodox
1200,Imran Farhat,Pakistan,Batsman,Left Handed Bat,Right-arm legbreak
1201,TT Bresnan,England,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
1202,PDRL Perera,Sri Lanka,WK-Batsman,Left Handed Bat,null
1203,AGR Loudon,England,Batting Allrounder,Right Handed Bat,Right-arm medium
1204,HMCM Bandara,Sri Lanka,--,Right Handed Bat,Right-arm legbreak
1205,AN Cook,England,Batsman,Left Handed Bat,Right-arm medium
1206,Kabir Ali,England,Bowler,Right Handed Bat,Right-arm fast-medium
1207,TT Samaraweera,Sri Lanka,Batsman,Right Handed Bat,Right-arm offbreak
1208,J Botha,South Africa,Bowling Allrounder,Right Handed Bat,Right-arm offbreak
1209,MJ Prior,England,WK-Batsman,Right Handed Bat,null
1210,ID Blackwell,England,Batting Allrounder,Left Handed Bat,Left-arm orthodox
1211,JM Anderson,England,Bowler,Left Handed Bat,Right-arm fast-medium
1212,Mohammad Sami,Pakistan,Bowler,Right Handed Bat,Right-arm fast-medium
1213,Danish Kaneria,Pakistan,Bowler,Right Handed Bat,Right-arm legbreak
1214,Yasir Arafat,Pakistan,Bowler,Right Handed Bat,Right-arm medium
1215,SD Udal,England,Bowler,Right Handed Bat,Right-arm offbreak
1216,RJ Peterson,South Africa,Bowling Allrounder,Left Handed Bat,Left-arm orthodox
1217,BJ Hodge,Australia,Batting Allrounder,Right Handed Bat,Right-arm offbreak
1218,JAH Marshall,New Zealand,Batsman,Right Handed Bat,Right-arm medium
1219,JR Hopes,Australia,--,Right Handed Bat,Right-arm medium
1220,M Zondeki,South Africa,Bowler,Right Handed Bat,Right-arm fast
1221,GJP Kruger,South Africa,Bowler,Right Handed Bat,Right-arm fast-medium
1222,PA Jaques,Australia,Batsman,Left Handed Bat,Left-arm medium
1223,BJ Haddin,Australia,WK-Batsman,Right Handed Bat,null
1224,BR Dorey,Australia,Bowler,Right Handed Bat,Right-arm fast-medium
1225,JJ van der Wath,South Africa,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
1226,J Mubarak,Sri Lanka,Batting Allrounder,Left Handed Bat,Right-arm offbreak
1227,WCA Ganegama,Sri Lanka,Bowler,Right Handed Bat,Right-arm fast-medium
1228,JM How,New Zealand,Batsman,Right Handed Bat,Right-arm medium
1229,PG Fulton,New Zealand,Batsman,Right Handed Bat,null
1230,DA Gunawardene,Sri Lanka,Batsman,Left Handed Bat,null
1231,Umar Gul,Pakistan,Bowler,Right Handed Bat,Right-arm fast-medium
1232,RR Powar,India,Bowler,Right Handed Bat,Right-arm offbreak
1233,ML Lewis,Australia,Bowler,Right Handed Bat,Right-arm fast-medium
1234,MJ Mason,New Zealand,Bowler,Right Handed Bat,Right-arm fast-medium
1235,D Ganga,West Indies,Batsman,Right Handed Bat,Right-arm offbreak
1236,RN Lewis,West Indies,Bowler,Right Handed Bat,Left-arm orthodox
1237,Rajin Saleh,Bangladesh,Batting Allrounder,Right Handed Bat,Right-arm offbreak
1238,Alok Kapali,Bangladesh,Batsman,Right Handed Bat,Right-arm legbreak
1239,Abdur Razzak,Bangladesh,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
1240,KHRK Fernando,Sri Lanka,Bowler,Right Handed Bat,Right-arm fast-medium
1241,KS Lokuarachchi,Sri Lanka,Batting Allrounder,Right Handed Bat,Right-arm legbreak
1242,KTGD Prasad,Sri Lanka,Bowler,Right Handed Bat,Right-arm fast-medium
1243,DJ Cullen,Australia,WK-Batsman,Right Handed Bat,null
1244,MG Johnson,Australia,Bowler,Left Handed Bat,Left-arm fast
1245,Shahadat Hossain,Bangladesh,Bowler,Right Handed Bat,Right-arm fast-medium
1246,MJ Cosgrove,Australia,Batting Allrounder,Left Handed Bat,Right-arm medium
1247,OA Shah,England,Bowling Allrounder,Right Handed Bat,Right-arm offbreak
1248,MM Patel,India,Bowler,Right Handed Bat,Right-arm fast-medium
1249,MJ Hoggard,England,Bowler,Right Handed Bat,Right-arm fast-medium
1250,VRV Singh,India,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
1251,RV Uthappa,India,WK-Batsman,Right Handed Bat,Right-arm medium
1252,R Telemachus,South Africa,Bowler,Right Handed Bat,Right-arm fast-medium
1253,HP Rinke,Zimbabwe,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
1254,T Duffin,Zimbabwe,Batsman,Left Handed Bat,Right-arm medium
1255,GM Strydom,Zimbabwe,Batting Allrounder,Right Handed Bat,Right-arm medium
1256,RS Higgins,Zimbabwe,Bowler,Right Handed Bat,Right-arm offbreak
1257,EC Rainsford,Zimbabwe,Bowler,Right Handed Bat,Right-arm fast-medium
1258,S Chattergoon,West Indies,Batting Allrounder,Left Handed Bat,Right-arm legbreak
1259,D Mohammed,West Indies,Batting Allrounder,Left Handed Bat,Left-arm chinaman
1260,CS Baugh,West Indies,WK-Batsman,Right Handed Bat,Right-arm legbreak
1261,KO Meth,Zimbabwe,Batting Allrounder,Right Handed Bat,Right-arm medium
1262,Imran Nazir,Pakistan,Batsman,Right Handed Bat,Right-arm legbreak
1263,SW Tait,Australia,Bowler,Right Handed Bat,Right-arm fast
1264,DF Watts,Scotland,Bowler,Left Handed Bat,Left-arm orthodox
1265,RM Haq,Scotland,Bowling Allrounder,Left Handed Bat,Right-arm offbreak
1266,NS Poonia,Scotland,Batsman,Right Handed Bat,Right-arm medium
1267,RR Watson,Scotland,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
1268,GM Hamilton,Scotland,--,Left Handed Bat,Right-arm fast-medium
1269,DR Brown,Scotland,Bowler,Right Handed Bat,Right-arm fast
1270,CJO Smith,Scotland,Batsman,Right Handed Bat,Right-arm legbreak
1271,CM Wright,Scotland,Bowler,Right Handed Bat,Right-arm fast-medium
1272,GA Rogers,Scotland,Bowler,Right Handed Bat,Right-arm offbreak
1273,PJC Hoffmann,Scotland,Batsman,Right Handed Bat,Right-arm medium
1274,JAR Blain,Scotland,--,Right Handed Bat,Right-arm legbreak
1275,CJ Smith,Bermuda,Batsman,Right Handed Bat,Right-arm legbreak
1276,OL Pitcher,Bermuda,Batting Allrounder,Right Handed Bat,Right-arm medium
1277,S Mukuddem,Bermuda,Batting Allrounder,Right Handed Bat,Right-arm medium
1278,DL Hemp,Bermuda,Batsman,Left Handed Bat,Right-arm medium
1279,IH Romaine,Bermuda,--,Right Handed Bat,Right-arm offbreak
1280,JJ Tucker,Bermuda,WK-Batsman,Right Handed Bat,null
1281,DA Minors,Bermuda,T20 Matches,FC Matches,List A Matches
1282,DCC Borden,Bermuda,T20 Matches,FC Matches,List A Matches
1283,KAD Hurdle,Bermuda,Bowler,Right Handed Bat,Right-arm fast
1284,RDM Leverock,Bermuda,Bowler,Left Handed Bat,Right-arm fast-medium
1285,LPC Silva,Sri Lanka,Batsman,Right Handed Bat,Right-arm legbreak
1286,EJG Morgan,Ireland,Batsman,Left Handed Bat,Right-arm medium
1287,S Matsikenyeri,Zimbabwe,Batting Allrounder,Right Handed Bat,Right-arm offbreak
1288,GB Brent,Zimbabwe,Batsman,Right Handed Bat,Right-arm fast-medium
1289,B Zuiderent,Netherlands,Batsman,Right Handed Bat,Right-arm medium
1290,DJ Reekers,Netherlands,--,Right Handed Bat,Right-arm medium
1291,AN Kervezee,Netherlands,Batsman,Right Handed Bat,Right-arm medium
1292,RN ten Doeschate,Netherlands,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
1293,DLS van Bunge,Netherlands,Batting Allrounder,Right Handed Bat,Right-arm legbreak
1294,ES Szwarczynski,Netherlands,Batsman,Right Handed Bat,null
1295,PW Borren,Netherlands,Batting Allrounder,Right Handed Bat,Right-arm medium
1296,WF Stelling,Netherlands,List A Matches,ODI Matches,FC Matches
1297,J Smits,Netherlands,--,Right Handed Bat,Right-arm fast
1298,PA Nixon,England,WK-Batsman,Left Handed Bat,null
1299,MS Panesar,England,Bowler,Left Handed Bat,Left-arm orthodox
1300,Azhar Mahmood,Pakistan,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
1301,Adeel Raja,Netherlands,Bowler,Right Handed Bat,Right-arm offbreak
1302,MBS Jonkman,Netherlands,Bowler,Right Handed Bat,Right-arm medium
1303,JM Davison,Canada,--,Right Handed Bat,Right-arm offbreak
1304,GEF Barnett,Canada,--,Right Handed Bat,Right-arm medium
1305,A Bagai,Canada,WK-Batsman,Right Handed Bat,null
1306,IS Billcliff,Canada,Batsman,Right Handed Bat,Right-arm medium
1307,AM Samad,Canada,Batsman,Right Handed Bat,Right-arm legbreak
1308,AA Mulla,Canada,Bowler,Right Handed Bat,Right-arm medium
1309,DR Chumney,Canada,List A Matches,ODI Matches,FC Matches
1310,S Dhaniram,Canada,Batsman,Left Handed Bat,Left-arm orthodox
1311,GR Codrington,Canada,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
1312,U Bhatti,Canada,--,--,Left Handed Bat
1313,AC Cummins,Canada,Bowler,Left Handed Bat,Right-arm fast
1314,RS Bopara,England,Batting Allrounder,Right Handed Bat,Right-arm medium
1315,SD Outerbridge,Bermuda,Batsman,Left Handed Bat,Right-arm offbreak
1316,MO Jones,Bermuda,--,Right Handed Bat,Right-arm offbreak
1317,A Kumble,India,Bowler,Right Handed Bat,Right-arm legbreak
1318,F Kasteni,Zimbabwe,Batsman,Left Handed Bat,null
1319,NFI McCallum,Scotland,WK-Batsman,Right Handed Bat,null
1320,JD Nel,Scotland,Bowler,Right Handed Bat,Right-arm fast-medium
1321,MA Ouma,Kenya,WK-Batsman,Right Handed Bat,null
1322,DO Obuya,Kenya,Batting Allrounder,Right Handed Bat,Right-arm legbreak
1323,RD Shah,Kenya,Batsman,Left Handed Bat,Right-arm offbreak
1324,SO Tikolo,Kenya,Batting Allrounder,Right Handed Bat,null
1325,T Mishra,Kenya,Batsman,Right Handed Bat,Right-arm fast-medium
1326,CO Obuya,Kenya,Batting Allrounder,Right Handed Bat,Right-arm legbreak
1327,TM Odoyo,Kenya,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
1328,JK Kamande,Kenya,Batting Allrounder,Right Handed Bat,Right-arm offbreak
1329,LN Onyango,Kenya,Bowler,Right Handed Bat,Right-arm medium
1330,PJ Ongondo,Kenya,Bowler,Right Handed Bat,Right-arm fast-medium
1331,HA Varaiya,Kenya,Bowler,Right Handed Bat,Left-arm orthodox
1332,Mohammad Kashif,Netherlands,Bowler,Right Handed Bat,Right-arm offbreak
1333,KT Sandher,Canada,Bowler,Right Handed Bat,Left-arm orthodox
1334,H Osinde,Canada,Bowler,Right Handed Bat,Right-arm fast-medium
1335,DR Tuffey,New Zealand,--,Right Handed Bat,Right-arm fast-medium
1336,AO Suji,Kenya,Allrounder,Right hand Bat,Right arm Medium
1337,LMP Simmons,West Indies,Batsman,Right Handed Bat,Right-arm medium
1338,LE Bosman,South Africa,--,Right Handed Bat,Right-arm medium
1339,DS Smith,West Indies,Batting Allrounder,Right Handed Bat,Right-arm medium
1340,MR Gillespie,New Zealand,Bowler,Right Handed Bat,Right-arm fast-medium
1341,KED Carroll,Ireland,Batsman,Right Handed Bat,Right-arm legbreak
1342,Farhad Reza,Bangladesh,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
1343,TV Mufambisi,Zimbabwe,Batsman,Right Handed Bat,Right-arm offbreak
1344,W Jaffer,India,Batsman,Right Handed Bat,Right-arm offbreak
1345,D Mongia,India,Batting Allrounder,Left Handed Bat,Left-arm orthodox
1346,VVS Laxman,India,--,Right Handed Bat,Right-arm offbreak
1347,BW Hilfenhaus,Australia,Bowler,Right Handed Bat,Right-arm fast-medium
1348,MB Loye,England,Batsman,Right Handed Bat,Right-arm offbreak
1349,KO Otieno,Kenya,--,--,Right Handed Bat
1350,HS Modi,Kenya,Batsman,Right Handed Bat,Right-arm medium
1351,NN Odhiambo,Kenya,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
1352,JS Ababu,Kenya,Bowling Allrounder,Left Handed Bat,Left-arm orthodox
1353,ML Patel,Kenya,WK-Batsman,Left Handed Bat,null
1354,T Kamungozi,Zimbabwe,Bowler,Right Handed Bat,Right-arm legbreak
1355,Mehrab Hossain jnr,Bangladesh,Batsman,Left Handed Bat,Left-arm orthodox
1356,Abdur Rehman,Pakistan,Bowler,Left Handed Bat,Left-arm orthodox
1357,AC Voges,Australia,Batsman,Right Handed Bat,Left-arm orthodox
1358,AN Petersen,South Africa,Batsman,Right Handed Bat,Right-arm offbreak
1359,Faisal Iqbal,Pakistan,Batsman,Right Handed Bat,Right-arm medium
1360,AD Mascarenhas,England,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
1361,R Rampaul,West Indies,Bowler,Left Handed Bat,Right-arm fast-medium
1362,RJ Sidebottom,England,Bowler,Left Handed Bat,Left-arm fast-medium
1363,PP Chawla,India,Bowling Allrounder,Left Handed Bat,Right-arm legbreak
1364,LJ Wright,England,Bowling Allrounder,Right Handed Bat,Right-arm medium
1365,KL Tucker,Bermuda,WK-Batsman,Right Handed Bat,null
1366,RD Steede,Bermuda,Bowler,Right Handed Bat,Right-arm fast-medium
1367,SKW Kelly,Bermuda,Bowler,Right Handed Bat,Right-arm fast-medium
1368,DES Maxwell,Canada,Batting Allrounder,Right Handed Bat,Right-arm offbreak
1369,H Durham,Bermuda,Bowler,Right hand Bat,Slow Left arm Orthodox
1370,S Jyoti,Canada,--,WK-Batsman,Right Handed Bat
1371,Qaiser Ali,Canada,Batsman,Right Handed Bat,Right-arm offbreak
1372,TN de Grooth,Netherlands,Batsman,Right Handed Bat,Right-arm offbreak
1373,MWA van Nierop,Netherlands,Batsman,Right Handed Bat,Right-arm medium
1374,TMK Mawoyo,Zimbabwe,Batsman,Right Handed Bat,Right-arm fast-medium
1375,ML Nkala,Zimbabwe,Bowler,Right Handed Bat,Right-arm fast-medium
1376,ADJ Pitcher,Bermuda,Batting Allrounder,Right Handed Bat,Right-arm medium
1377,RT Lyons,Scotland,T20 Matches,FC Matches,List A Matches
1378,A Codrington,Canada,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
1379,RR Emrit,West Indies,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
1380,M Terblanche,South Africa,WK-Batsman,Right Handed Bat,null
1381,CS Terblanche,South Africa,WT20I Matches,WTEST Matches,WODI Matches
1382,J Logtenberg,South Africa,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
1383,SM Benade,South Africa,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
1384,S Loubser,South Africa,Bowling Allrounder,Right Handed Bat,Right-arm offbreak
1385,APC Kilowan,South Africa,WT20I Matches,WTEST Matches,WODI Matches
1386,Tasqeen Qadeer,Pakistan,Bowler,Right Handed Bat,Right-arm medium
1387,Urooj Mumtaz,Pakistan,Bowling Allrounder,Right Handed Bat,Right-arm legbreak
1388,Sana Javed,Pakistan,--,Right Handed Bat,Right-arm legbreak
1389,Batool Fatima,Pakistan,WK-Batsman,Right Handed Bat,Right-arm fast-medium
1390,Qanita Jalil,Pakistan,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
1391,Sabahat Rasheed,Pakistan,Batsman,Right Handed Bat,Right-arm legbreak
1392,A Minny,South Africa,Batting Allrounder,Right Handed Bat,Right-arm offbreak
1393,K Blair,South Africa,Bowler,Right Handed Bat,Right-arm fast-medium
1394,MF Fahey,New Zealand,Batsman,Left Handed Bat,Right-arm offbreak
1395,HM Tiffen,New Zealand,Batsman,Left Handed Bat,Right-arm offbreak
1396,RJ Rolls,New Zealand,WK-Batsman,Right Handed Bat,null
1397,SJ McGlashan,New Zealand,WK-Batsman,Right Handed Bat,null
1398,SJ Tsukigawa,New Zealand,WT20I Matches,Explore Statsguru Analysis,WODI Matches
1399,AL Watkins,New Zealand,--,Right Handed Bat,null
1400,NJ Browne,New Zealand,--,Right Handed Bat,null
1401,HM Watson,New Zealand,--,Left Handed Bat,null
1402,LE Milliken,New Zealand,Bowler,Right Handed Bat,Right-arm fast-medium
1403,SK Burke,New Zealand,Batsman,Right Handed Bat,Right-arm offbreak
1404,MJ Bulow,Australia,Batsman,Right Handed Bat,Right-arm offbreak
1405,S Nitschke,Australia,Batsman,Left Handed Bat,Left-arm orthodox
1406,KL Rolton,Australia,Batting Allrounder,Left Handed Bat,Left-arm medium
1407,LC Sthalekar,Australia,Batting Allrounder,Right Handed Bat,null
1408,KA Blackwell,Australia,Batting Allrounder,Right Handed Bat,Right-arm medium
1409,SJ Elliott,Australia,Batsman,Right Handed Bat,Right-arm legbreak
1410,KE Pike,Australia,Batsman,Left Handed Bat,Right-arm offbreak
1411,CR Smith,Australia,--,Right Handed Bat,null
1412,JM Fields,Australia,WK-Batsman,Right Handed Bat,Right-arm medium
1413,EM Sampson,Australia,--,Right Handed Bat,Right-arm fast-medium
1414,LE Bosman,Africa XI,--,Right Handed Bat,Right-arm medium
1415,JA Morkel,Africa XI,Batting Allrounder,Left Handed Bat,Right-arm fast-medium
1416,E Chigumbura,Africa XI,Bowling Allrounder,Right Handed Bat,Right-arm medium
1417,M Morkel,Africa XI,Bowler,Left Handed Bat,Right-arm fast
1418,ST Jayasuriya,Asia XI,Batting Allrounder,Left Handed Bat,Left-arm orthodox
1419,SC Ganguly,Asia XI,Batsman,Left Handed Bat,Right-arm medium
1420,Yuvraj Singh,Asia XI,Batting Allrounder,Left Handed Bat,Left-arm orthodox
1421,MS Dhoni,Asia XI,WK-Batsman,Right Handed Bat,Right-arm medium
1422,Harbhajan Singh,Asia XI,Bowler,Right Handed Bat,Right-arm offbreak
1423,Mashrafe Mortaza,Asia XI,Bowler,Right Handed Bat,Right-arm fast-medium
1424,Mohammad Asif,Asia XI,Bowler,Left Handed Bat,Right-arm fast-medium
1425,V Sibanda,Africa XI,Batsman,Right Handed Bat,Right-arm medium
1426,J Botha,Africa XI,Bowling Allrounder,Right Handed Bat,Right-arm offbreak
1427,Mohammad Rafique,Asia XI,Bowler,Left Handed Bat,Left-arm orthodox
1428,CRD Fernando,Asia XI,Bowler,Right Handed Bat,Right-arm fast-medium
1429,PJ Ongondo,Africa XI,Bowler,Right Handed Bat,Right-arm fast-medium
1430,WU Tharanga,Asia XI,Batsman,Left Handed Bat,null
1431,P Mustard,England,WK-Batsman,Left Handed Bat,null
1432,GP Swann,England,Bowler,Right Handed Bat,Right-arm offbreak
1433,MS Sinclair,New Zealand,Bowler,Right Handed Bat,Right-arm offbreak
1434,CS Martin,New Zealand,Bowler,Right Handed Bat,Right-arm fast-medium
1435,GJ Hopkins,New Zealand,Wicketkeeper Batter,Right hand Bat,null
1436,AA Noffke,Australia,Bowler,Right Handed Bat,Right-arm fast-medium
1437,MK Tiwary,India,Batsman,Right Handed Bat,Right-arm legbreak
1438,I Sharma,India,Bowler,Right Handed Bat,Right-arm fast-medium
1439,MKDI Amerasinghe,Sri Lanka,--,Right Handed Bat,Right-arm fast-medium
1440,P Kumar,India,Bowler,Right Handed Bat,Right-arm fast-medium
1441,MJ Fourie,Ireland,Bowler,Right Handed Bat,Right-arm offbreak
1442,AR Cusack,Ireland,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
1443,MN van Wyk,South Africa,WK-Batsman,Right Handed Bat,Left-arm orthodox
1444,VD Philander,South Africa,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
1445,MS Tshabalala,South Africa,Batting Allrounder,Right Handed Bat,Right-arm offbreak
1446,HJC Mol,Netherlands,Bowler,Right hand Bat,Right arm Medium
1447,AF Buurman,Netherlands,--,WK-Batsman,Right Handed Bat
1448,Mudassar Bukhari,Netherlands,Bowler,Right Handed Bat,Right-arm fast-medium
1449,RO Hussain,Scotland,Bowling Allrounder,Right Handed Bat,Right-arm legbreak
1450,GD Drummond,Scotland,Batsman,Right Handed Bat,Right-arm medium
1451,GE Kidd,Ireland,Bowler,Left Handed Bat,Left-arm orthodox
1452,DJG Sammy,West Indies,Batting Allrounder,Right Handed Bat,Right-arm medium
1453,Abdul Jabbar,Canada,Batsman,Right Handed Bat,Right-arm medium
